edge_id,from_node_id,to_node_id,feeder_id,substation_id,edge_type,conductor_type,phase,length_miles,length_ft,impedance_r_ohm_per_mile,impedance_x_ohm_per_mile,impedance_z0_ohm_per_mile,rated_amps,nominal_voltage_kv,num_phases,is_overhead,installation_year,status
EDGE-041044,JCT-FDR-0060-004,FUSE-XFMR-020200,FDR-0060,SUB-014,lateral_overhead,#4 CU,ABC,0.042,219.4,1.4902,0.4843,1.007,100,12.47,3,1,,closed
EDGE-041045,FUSE-XFMR-020200,XFMR-020200,FDR-0060,SUB-014,lateral_overhead,#4 CU,ABC,0.235,1243.2,1.482,0.5355,1.007,100,12.47,3,1,,closed
EDGE-041046,JCT-FDR-0060-004,FUSE-XFMR-020201,FDR-0060,SUB-014,lateral_overhead,#4 CU,AB,0.044,230.5,1.5948,0.5575,1.007,100,12.47,2,1,,closed
EDGE-041047,FUSE-XFMR-020201,XFMR-020201,FDR-0060,SUB-014,lateral_overhead,#4 CU,AB,0.247,1306.0,1.4993,0.5499,1.007,100,12.47,2,1,,closed
EDGE-041048,JCT-FDR-0060-004,FUSE-XFMR-020202,FDR-0060,SUB-014,lateral_overhead,#2 ACSR,B,0.045,239.2,0.8259,0.497,0.6985,150,12.47,1,1,,closed
EDGE-041049,FUSE-XFMR-020202,XFMR-020202,FDR-0060,SUB-014,lateral_overhead,#2 ACSR,B,0.257,1355.4,0.9203,0.4841,0.6985,150,12.47,1,1,,closed
EDGE-041050,JCT-FDR-0060-004,FUSE-XFMR-020203,FDR-0060,SUB-014,lateral_overhead,1/0 AL,C,0.046,243.1,0.5497,0.4464,0.5345,230,12.47,1,1,,closed
EDGE-041051,FUSE-XFMR-020203,XFMR-020203,FDR-0060,SUB-014,lateral_overhead,1/0 AL,C,0.261,1377.8,0.5592,0.517,0.5345,230,12.47,1,1,,closed
EDGE-041052,JCT-FDR-0060-004,FUSE-XFMR-020204,FDR-0060,SUB-014,lateral_overhead,1/0 AL,AC,0.048,251.9,0.5854,0.511,0.5345,230,12.47,2,1,,closed
EDGE-041053,FUSE-XFMR-020204,XFMR-020204,FDR-0060,SUB-014,lateral_overhead,1/0 AL,AC,0.27,1427.2,0.6234,0.4612,0.5345,230,12.47,2,1,,closed
EDGE-041054,JCT-FDR-0060-004,FUSE-XFMR-020205,FDR-0060,SUB-014,lateral_underground,#4 CU,A,0.05,261.4,1.5686,0.5001,1.007,100,12.47,1,0,,closed
EDGE-041055,FUSE-XFMR-020205,XFMR-020205,FDR-0060,SUB-014,lateral_underground,#4 CU,A,0.281,1481.0,1.6322,0.4898,1.007,100,12.47,1,0,,closed
EDGE-041056,JCT-FDR-0060-004,FUSE-XFMR-020206,FDR-0060,SUB-014,lateral_underground,#4 CU,A,0.051,271.7,1.5127,0.4602,1.007,100,12.47,1,0,,closed
EDGE-041057,FUSE-XFMR-020206,XFMR-020206,FDR-0060,SUB-014,lateral_underground,#4 CU,A,0.292,1539.4,1.4223,0.5562,1.007,100,12.47,1,0,,closed
EDGE-041058,JCT-FDR-0060-004,FUSE-XFMR-020207,FDR-0060,SUB-014,lateral_underground,#4 CU,ABC,0.052,275.6,1.5053,0.5084,1.007,100,12.47,3,0,,closed
EDGE-041059,FUSE-XFMR-020207,XFMR-020207,FDR-0060,SUB-014,lateral_underground,#4 CU,ABC,0.296,1561.8,1.4336,0.4828,1.007,100,12.47,3,0,,closed
EDGE-041060,JCT-FDR-0060-004,FUSE-XFMR-020208,FDR-0060,SUB-014,lateral_overhead,4/0 AL,A,0.053,282.0,0.2756,0.409,0.3655,340,12.47,1,1,,closed
EDGE-041061,FUSE-XFMR-020208,XFMR-020208,FDR-0060,SUB-014,lateral_overhead,4/0 AL,A,0.303,1597.7,0.3193,0.4012,0.3655,340,12.47,1,1,,closed
EDGE-041062,JCT-FDR-0060-004,FUSE-XFMR-020209,FDR-0060,SUB-014,lateral_overhead,#4 CU,B,0.056,293.8,1.6405,0.5516,1.007,100,12.47,1,1,,closed
EDGE-041063,FUSE-XFMR-020209,XFMR-020209,FDR-0060,SUB-014,lateral_overhead,#4 CU,B,0.315,1665.0,1.4742,0.4964,1.007,100,12.47,1,1,,closed
EDGE-041064,JCT-FDR-0060-004,FUSE-XFMR-020210,FDR-0060,SUB-014,lateral_underground,#2 ACSR,A,0.057,301.0,0.8875,0.4988,0.6985,150,12.47,1,0,,closed
EDGE-041065,FUSE-XFMR-020210,XFMR-020210,FDR-0060,SUB-014,lateral_underground,#2 ACSR,A,0.323,1705.4,0.9652,0.4666,0.6985,150,12.47,1,0,,closed
EDGE-041066,JCT-FDR-0060-004,FUSE-XFMR-020211,FDR-0060,SUB-014,lateral_overhead,4/0 AL,ABC,0.058,306.5,0.2713,0.4209,0.3655,340,12.47,3,1,,closed
EDGE-041067,FUSE-XFMR-020211,XFMR-020211,FDR-0060,SUB-014,lateral_overhead,4/0 AL,ABC,0.329,1736.9,0.3025,0.405,0.3655,340,12.47,3,1,,closed
EDGE-041068,JCT-FDR-0060-004,FUSE-XFMR-020212,FDR-0060,SUB-014,lateral_underground,1/0 AL,B,0.06,317.6,0.6063,0.4405,0.5345,230,12.47,1,0,,closed
EDGE-041069,FUSE-XFMR-020212,XFMR-020212,FDR-0060,SUB-014,lateral_underground,1/0 AL,B,0.341,1799.7,0.6303,0.4483,0.5345,230,12.47,1,0,,closed
EDGE-041070,JCT-FDR-0060-004,FUSE-XFMR-020213,FDR-0060,SUB-014,lateral_underground,#2 ACSR,AC,0.061,321.6,0.8562,0.5337,0.6985,150,12.47,2,0,,closed
EDGE-041071,FUSE-XFMR-020213,XFMR-020213,FDR-0060,SUB-014,lateral_underground,#2 ACSR,AC,0.345,1822.1,0.9233,0.4872,0.6985,150,12.47,2,0,,closed
EDGE-041072,JCT-FDR-0060-004,FUSE-XFMR-020214,FDR-0060,SUB-014,lateral_overhead,#4 CU,ABC,0.062,328.7,1.5682,0.5142,1.007,100,12.47,3,1,,closed
EDGE-041073,FUSE-XFMR-020214,XFMR-020214,FDR-0060,SUB-014,lateral_overhead,#4 CU,ABC,0.353,1862.5,1.592,0.4781,1.007,100,12.47,3,1,,closed
EDGE-041074,JCT-FDR-0060-004,FUSE-XFMR-020215,FDR-0060,SUB-014,lateral_underground,4/0 AL,AC,0.065,341.4,0.3178,0.4029,0.3655,340,12.47,2,0,,closed
EDGE-041075,FUSE-XFMR-020215,XFMR-020215,FDR-0060,SUB-014,lateral_underground,4/0 AL,AC,0.366,1934.3,0.2969,0.4608,0.3655,340,12.47,2,0,,closed
EDGE-041076,JCT-FDR-0060-004,FUSE-XFMR-020216,FDR-0060,SUB-014,lateral_overhead,1/0 AL,BC,0.066,347.7,0.6182,0.5066,0.5345,230,12.47,2,1,,closed
EDGE-041077,FUSE-XFMR-020216,XFMR-020216,FDR-0060,SUB-014,lateral_overhead,1/0 AL,BC,0.373,1970.2,0.5717,0.4615,0.5345,230,12.47,2,1,,closed
EDGE-041078,JCT-FDR-0060-004,FUSE-XFMR-020217,FDR-0060,SUB-014,lateral_overhead,1/0 AL,AB,0.067,352.4,0.5705,0.4906,0.5345,230,12.47,2,1,,closed
EDGE-041079,FUSE-XFMR-020217,XFMR-020217,FDR-0060,SUB-014,lateral_overhead,1/0 AL,AB,0.378,1997.2,0.5465,0.4306,0.5345,230,12.47,2,1,,closed
EDGE-041080,JCT-FDR-0060-004,FUSE-XFMR-020218,FDR-0060,SUB-014,lateral_underground,#2 ACSR,BC,0.068,360.4,0.968,0.4878,0.6985,150,12.47,2,0,,closed
EDGE-041081,FUSE-XFMR-020218,XFMR-020218,FDR-0060,SUB-014,lateral_underground,#2 ACSR,BC,0.387,2042.0,0.9666,0.4613,0.6985,150,12.47,2,0,,closed
EDGE-041082,JCT-FDR-0060-004,FUSE-XFMR-020219,FDR-0060,SUB-014,lateral_overhead,#2 ACSR,C,0.07,369.1,0.8318,0.4699,0.6985,150,12.47,1,1,,closed
EDGE-041083,FUSE-XFMR-020219,XFMR-020219,FDR-0060,SUB-014,lateral_overhead,#2 ACSR,C,0.396,2091.4,0.9117,0.5466,0.6985,150,12.47,1,1,,closed
EDGE-041084,JCT-FDR-0060-004,FUSE-XFMR-020220,FDR-0060,SUB-014,lateral_overhead,1/0 AL,AC,0.072,379.4,0.6282,0.5077,0.5345,230,12.47,2,1,,closed
EDGE-041085,FUSE-XFMR-020220,XFMR-020220,FDR-0060,SUB-014,lateral_overhead,1/0 AL,AC,0.407,2149.8,0.5838,0.4997,0.5345,230,12.47,2,1,,closed
EDGE-041086,JCT-FDR-0060-004,FUSE-XFMR-020221,FDR-0060,SUB-014,lateral_overhead,4/0 AL,AB,0.073,387.3,0.3095,0.4127,0.3655,340,12.47,2,1,,closed
EDGE-041087,FUSE-XFMR-020221,XFMR-020221,FDR-0060,SUB-014,lateral_overhead,4/0 AL,AB,0.416,2194.6,0.3204,0.3925,0.3655,340,12.47,2,1,,closed
EDGE-041088,JCT-FDR-0060-004,FUSE-XFMR-020222,FDR-0060,SUB-014,lateral_overhead,1/0 AL,A,0.074,392.0,0.595,0.4581,0.5345,230,12.47,1,1,,closed
EDGE-041089,FUSE-XFMR-020222,XFMR-020222,FDR-0060,SUB-014,lateral_overhead,1/0 AL,A,0.421,2221.6,0.5652,0.456,0.5345,230,12.47,1,1,,closed
EDGE-041090,JCT-FDR-0060-004,FUSE-XFMR-020223,FDR-0060,SUB-014,lateral_overhead,4/0 AL,AB,0.076,402.3,0.3207,0.4285,0.3655,340,12.47,2,1,,closed
EDGE-041091,FUSE-XFMR-020223,XFMR-020223,FDR-0060,SUB-014,lateral_overhead,4/0 AL,AB,0.432,2279.9,0.2925,0.4172,0.3655,340,12.47,2,1,,closed
EDGE-041092,JCT-FDR-0060-004,FUSE-XFMR-020224,FDR-0060,SUB-014,lateral_overhead,#2 ACSR,A,0.077,408.7,0.8976,0.4672,0.6985,150,12.47,1,1,,closed
EDGE-041093,FUSE-XFMR-020224,XFMR-020224,FDR-0060,SUB-014,lateral_overhead,#2 ACSR,A,0.439,2315.8,0.9784,0.4747,0.6985,150,12.47,1,1,,closed
EDGE-041094,JCT-FDR-0060-004,FUSE-XFMR-020225,FDR-0060,SUB-014,lateral_overhead,4/0 AL,AC,0.079,417.4,0.2799,0.4049,0.3655,340,12.47,2,1,,closed
EDGE-041095,FUSE-XFMR-020225,XFMR-020225,FDR-0060,SUB-014,lateral_overhead,4/0 AL,AC,0.448,2365.2,0.287,0.4701,0.3655,340,12.47,2,1,,closed
EDGE-041096,JCT-FDR-0060-004,FUSE-XFMR-020226,FDR-0060,SUB-014,lateral_overhead,#2 ACSR,B,0.081,427.7,0.9231,0.5052,0.6985,150,12.47,1,1,,closed
EDGE-041097,FUSE-XFMR-020226,XFMR-020226,FDR-0060,SUB-014,lateral_overhead,#2 ACSR,B,0.459,2423.5,0.82,0.5223,0.6985,150,12.47,1,1,,closed
EDGE-041098,JCT-FDR-0060-004,FUSE-XFMR-020227,FDR-0060,SUB-014,lateral_overhead,#2 ACSR,B,0.082,432.4,0.9786,0.469,0.6985,150,12.47,1,1,,closed
EDGE-041099,FUSE-XFMR-020227,XFMR-020227,FDR-0060,SUB-014,lateral_overhead,#2 ACSR,B,0.464,2450.4,0.8881,0.5157,0.6985,150,12.47,1,1,,closed
EDGE-041100,JCT-FDR-0060-004,FUSE-XFMR-020228,FDR-0060,SUB-014,lateral_overhead,#4 CU,BC,0.083,438.8,1.3591,0.4714,1.007,100,12.47,2,1,,closed
EDGE-041101,FUSE-XFMR-020228,XFMR-020228,FDR-0060,SUB-014,lateral_overhead,#4 CU,BC,0.471,2486.4,1.5269,0.466,1.007,100,12.47,2,1,,closed
EDGE-041102,JCT-FDR-0060-004,FUSE-XFMR-020229,FDR-0060,SUB-014,lateral_underground,#2 ACSR,B,0.085,449.9,0.9797,0.49,0.6985,150,12.47,1,0,,closed
EDGE-041103,FUSE-XFMR-020229,XFMR-020229,FDR-0060,SUB-014,lateral_underground,#2 ACSR,B,0.483,2549.2,0.9223,0.4948,0.6985,150,12.47,1,0,,closed
EDGE-041104,JCT-FDR-0060-004,FUSE-XFMR-020230,FDR-0060,SUB-014,lateral_overhead,#2 ACSR,ABC,0.086,456.2,0.8351,0.5319,0.6985,150,12.47,3,1,,closed
EDGE-041105,FUSE-XFMR-020230,XFMR-020230,FDR-0060,SUB-014,lateral_overhead,#2 ACSR,ABC,0.49,2585.1,0.9679,0.5396,0.6985,150,12.47,3,1,,closed
EDGE-041106,JCT-FDR-0060-004,FUSE-XFMR-020231,FDR-0060,SUB-014,lateral_underground,4/0 AL,B,0.088,465.7,0.3087,0.4435,0.3655,340,12.47,1,0,,closed
EDGE-041107,FUSE-XFMR-020231,XFMR-020231,FDR-0060,SUB-014,lateral_underground,4/0 AL,B,0.5,2638.9,0.3164,0.4261,0.3655,340,12.47,1,0,,closed
EDGE-041108,JCT-FDR-0060-004,FUSE-XFMR-020232,FDR-0060,SUB-014,lateral_overhead,#4 CU,BC,0.089,469.7,1.5419,0.5501,1.007,100,12.47,2,1,,closed
EDGE-041109,FUSE-XFMR-020232,XFMR-020232,FDR-0060,SUB-014,lateral_overhead,#4 CU,BC,0.504,2661.4,1.6316,0.5354,1.007,100,12.47,2,1,,closed
EDGE-041110,JCT-FDR-0060-004,FUSE-XFMR-020233,FDR-0060,SUB-014,lateral_overhead,#2 ACSR,AC,0.091,478.4,0.8474,0.5449,0.6985,150,12.47,2,1,,closed
EDGE-041111,FUSE-XFMR-020233,XFMR-020233,FDR-0060,SUB-014,lateral_overhead,#2 ACSR,AC,0.513,2710.8,0.8737,0.455,0.6985,150,12.47,2,1,,closed
EDGE-041112,JCT-FDR-0060-004,FUSE-XFMR-020234,FDR-0060,SUB-014,lateral_underground,#2 ACSR,C,0.093,488.7,0.8113,0.5127,0.6985,150,12.47,1,0,,closed
EDGE-041113,FUSE-XFMR-020234,XFMR-020234,FDR-0060,SUB-014,lateral_underground,#2 ACSR,C,0.524,2769.1,0.9078,0.5343,0.6985,150,12.47,1,0,,closed
EDGE-041114,JCT-FDR-0060-004,FUSE-XFMR-020235,FDR-0060,SUB-014,lateral_underground,#2 ACSR,A,0.093,493.4,0.9163,0.4914,0.6985,150,12.47,1,0,,closed
EDGE-041115,FUSE-XFMR-020235,XFMR-020235,FDR-0060,SUB-014,lateral_underground,#2 ACSR,A,0.53,2796.0,0.8366,0.51,0.6985,150,12.47,1,0,,closed
EDGE-041116,JCT-FDR-0060-004,FUSE-XFMR-020236,FDR-0060,SUB-014,lateral_underground,#2 ACSR,B,0.096,506.1,0.9725,0.5337,0.6985,150,12.47,1,0,,closed
EDGE-041117,FUSE-XFMR-020236,XFMR-020236,FDR-0060,SUB-014,lateral_underground,#2 ACSR,B,0.543,2867.8,0.8508,0.5483,0.6985,150,12.47,1,0,,closed
EDGE-041118,JCT-FDR-0060-004,FUSE-XFMR-020237,FDR-0060,SUB-014,lateral_underground,#4 CU,AB,0.096,509.3,1.4411,0.542,1.007,100,12.47,2,0,,closed
EDGE-041119,FUSE-XFMR-020237,XFMR-020237,FDR-0060,SUB-014,lateral_underground,#4 CU,AB,0.547,2885.8,1.5654,0.4679,1.007,100,12.47,2,0,,closed
EDGE-041120,JCT-FDR-0060-004,FUSE-XFMR-020238,FDR-0060,SUB-014,lateral_overhead,4/0 AL,ABC,0.098,518.8,0.2676,0.4064,0.3655,340,12.47,3,1,,closed
EDGE-041121,FUSE-XFMR-020238,XFMR-020238,FDR-0060,SUB-014,lateral_overhead,4/0 AL,ABC,0.557,2939.6,0.2945,0.4027,0.3655,340,12.47,3,1,,closed
EDGE-041122,JCT-FDR-0060-004,FUSE-XFMR-020239,FDR-0060,SUB-014,lateral_underground,#2 ACSR,AB,0.1,527.5,0.9676,0.5505,0.6985,150,12.47,2,0,,closed
EDGE-041123,FUSE-XFMR-020239,XFMR-020239,FDR-0060,SUB-014,lateral_underground,#2 ACSR,AB,0.566,2989.0,0.8551,0.4544,0.6985,150,12.47,2,0,,closed
EDGE-041124,JCT-FDR-0060-004,FUSE-XFMR-020240,FDR-0060,SUB-014,lateral_overhead,4/0 AL,B,0.101,533.8,0.2908,0.4097,0.3655,340,12.47,1,1,,closed
EDGE-041125,FUSE-XFMR-020240,XFMR-020240,FDR-0060,SUB-014,lateral_overhead,4/0 AL,B,0.573,3024.9,0.3118,0.4229,0.3655,340,12.47,1,1,,closed
EDGE-041126,JCT-FDR-0060-004,FUSE-XFMR-020241,FDR-0060,SUB-014,lateral_overhead,4/0 AL,B,0.103,542.5,0.2838,0.4035,0.3655,340,12.47,1,1,,closed
EDGE-041127,FUSE-XFMR-020241,XFMR-020241,FDR-0060,SUB-014,lateral_overhead,4/0 AL,B,0.582,3074.3,0.3259,0.4444,0.3655,340,12.47,1,1,,closed
EDGE-041128,JCT-FDR-0060-004,FUSE-XFMR-020242,FDR-0060,SUB-014,lateral_underground,4/0 AL,ABC,0.104,547.3,0.2863,0.4649,0.3655,340,12.47,3,0,,closed
EDGE-041129,FUSE-XFMR-020242,XFMR-020242,FDR-0060,SUB-014,lateral_underground,4/0 AL,ABC,0.587,3101.2,0.3051,0.4272,0.3655,340,12.47,3,0,,closed
EDGE-041130,JCT-FDR-0060-004,FUSE-XFMR-020243,FDR-0060,SUB-014,lateral_overhead,1/0 AL,A,0.106,558.4,0.5435,0.4687,0.5345,230,12.47,1,1,,closed
EDGE-041131,FUSE-XFMR-020243,XFMR-020243,FDR-0060,SUB-014,lateral_overhead,1/0 AL,A,0.599,3164.0,0.5776,0.5145,0.5345,230,12.47,1,1,,closed
EDGE-041132,JCT-FDR-0060-004,FUSE-XFMR-020244,FDR-0060,SUB-014,lateral_overhead,1/0 AL,AB,0.107,567.1,0.6128,0.4606,0.5345,230,12.47,2,1,,closed
EDGE-041133,FUSE-XFMR-020244,XFMR-020244,FDR-0060,SUB-014,lateral_overhead,1/0 AL,AB,0.609,3213.4,0.5751,0.4664,0.5345,230,12.47,2,1,,closed
EDGE-041134,JCT-FDR-0060-004,FUSE-XFMR-020245,FDR-0060,SUB-014,lateral_overhead,1/0 AL,AB,0.109,573.4,0.539,0.4705,0.5345,230,12.47,2,1,,closed
EDGE-041135,FUSE-XFMR-020245,XFMR-020245,FDR-0060,SUB-014,lateral_overhead,1/0 AL,AB,0.615,3249.3,0.5989,0.4602,0.5345,230,12.47,2,1,,closed
EDGE-041136,JCT-FDR-0060-004,FUSE-XFMR-020246,FDR-0060,SUB-014,lateral_overhead,#4 CU,AC,0.11,582.1,1.3949,0.5339,1.007,100,12.47,2,1,,closed
EDGE-041137,FUSE-XFMR-020246,XFMR-020246,FDR-0060,SUB-014,lateral_overhead,#4 CU,AC,0.625,3298.7,1.4855,0.4928,1.007,100,12.47,2,1,,closed
EDGE-041138,JCT-FDR-0060-004,FUSE-XFMR-020247,FDR-0060,SUB-014,lateral_overhead,#4 CU,ABC,0.111,588.5,1.5956,0.4937,1.007,100,12.47,3,1,,closed
EDGE-041139,FUSE-XFMR-020247,XFMR-020247,FDR-0060,SUB-014,lateral_overhead,#4 CU,ABC,0.632,3334.6,1.405,0.5179,1.007,100,12.47,3,1,,closed
EDGE-041140,JCT-FDR-0060-004,FUSE-XFMR-020248,FDR-0060,SUB-014,lateral_overhead,#2 ACSR,A,0.113,598.8,0.8393,0.4739,0.6985,150,12.47,1,1,,closed
EDGE-041141,FUSE-XFMR-020248,XFMR-020248,FDR-0060,SUB-014,lateral_overhead,#2 ACSR,A,0.643,3392.9,0.9543,0.4547,0.6985,150,12.47,1,1,,closed
EDGE-041142,JCT-FDR-0060-004,FUSE-XFMR-020249,FDR-0060,SUB-014,lateral_overhead,#2 ACSR,B,0.114,602.7,0.8882,0.4706,0.6985,150,12.47,1,1,,closed
EDGE-041143,FUSE-XFMR-020249,XFMR-020249,FDR-0060,SUB-014,lateral_overhead,#2 ACSR,B,0.647,3415.4,0.8077,0.5152,0.6985,150,12.47,1,1,,closed
EDGE-041144,JCT-FDR-0060-004,FUSE-XFMR-020250,FDR-0060,SUB-014,lateral_overhead,#2 ACSR,B,0.116,613.8,0.9482,0.5317,0.6985,150,12.47,1,1,,closed
EDGE-041145,FUSE-XFMR-020250,XFMR-020250,FDR-0060,SUB-014,lateral_overhead,#2 ACSR,B,0.659,3478.2,0.9312,0.4882,0.6985,150,12.47,1,1,,closed
EDGE-041146,JCT-FDR-0060-004,FUSE-XFMR-020251,FDR-0060,SUB-014,lateral_underground,4/0 AL,BC,0.117,620.1,0.3093,0.4184,0.3655,340,12.47,2,0,,closed
EDGE-041147,FUSE-XFMR-020251,XFMR-020251,FDR-0060,SUB-014,lateral_underground,4/0 AL,BC,0.666,3514.1,0.2887,0.4347,0.3655,340,12.47,2,0,,closed
EDGE-041148,JCT-FDR-0060-004,FUSE-XFMR-020252,FDR-0060,SUB-014,lateral_overhead,1/0 AL,B,0.118,625.7,0.5538,0.4651,0.5345,230,12.47,1,1,,closed
EDGE-041149,FUSE-XFMR-020252,XFMR-020252,FDR-0060,SUB-014,lateral_overhead,1/0 AL,B,0.671,3545.5,0.6453,0.4542,0.5345,230,12.47,1,1,,closed
EDGE-041150,JCT-FDR-0060-004,FUSE-XFMR-020253,FDR-0060,SUB-014,lateral_overhead,#4 CU,ABC,0.121,636.8,1.6466,0.5322,1.007,100,12.47,3,1,,closed
EDGE-041151,FUSE-XFMR-020253,XFMR-020253,FDR-0060,SUB-014,lateral_overhead,#4 CU,ABC,0.683,3608.4,1.476,0.4954,1.007,100,12.47,3,1,,closed
EDGE-041152,JCT-FDR-0060-004,FUSE-XFMR-020254,FDR-0060,SUB-014,lateral_underground,#4 CU,AB,0.122,644.7,1.403,0.4608,1.007,100,12.47,2,0,,closed
EDGE-041153,FUSE-XFMR-020254,XFMR-020254,FDR-0060,SUB-014,lateral_underground,#4 CU,AB,0.692,3653.2,1.539,0.4905,1.007,100,12.47,2,0,,closed
EDGE-041154,JCT-FDR-0060-004,FUSE-XFMR-020255,FDR-0060,SUB-014,lateral_underground,#2 ACSR,AB,0.124,654.2,0.8971,0.4532,0.6985,150,12.47,2,0,,closed
EDGE-041155,FUSE-XFMR-020255,XFMR-020255,FDR-0060,SUB-014,lateral_underground,#2 ACSR,AB,0.702,3707.1,0.9551,0.4632,0.6985,150,12.47,2,0,,closed
EDGE-041156,JCT-FDR-0060-004,FUSE-XFMR-020256,FDR-0060,SUB-014,lateral_overhead,#2 ACSR,AC,0.124,657.4,0.9477,0.4983,0.6985,150,12.47,2,1,,closed
EDGE-041157,FUSE-XFMR-020256,XFMR-020256,FDR-0060,SUB-014,lateral_overhead,#2 ACSR,AC,0.705,3725.0,0.8336,0.4669,0.6985,150,12.47,2,1,,closed
EDGE-041158,JCT-FDR-0060-004,FUSE-XFMR-020257,FDR-0060,SUB-014,lateral_overhead,#2 ACSR,AC,0.126,666.9,0.9065,0.4537,0.6985,150,12.47,2,1,,closed
EDGE-041159,FUSE-XFMR-020257,XFMR-020257,FDR-0060,SUB-014,lateral_overhead,#2 ACSR,AC,0.716,3778.9,0.8113,0.4586,0.6985,150,12.47,2,1,,closed
EDGE-041160,JCT-FDR-0060-004,FUSE-XFMR-020258,FDR-0060,SUB-014,lateral_overhead,#2 ACSR,C,0.128,674.0,0.8141,0.5325,0.6985,150,12.47,1,1,,closed
EDGE-041161,FUSE-XFMR-020258,XFMR-020258,FDR-0060,SUB-014,lateral_overhead,#2 ACSR,C,0.723,3819.3,0.8467,0.519,0.6985,150,12.47,1,1,,closed
EDGE-041162,JCT-FDR-0060-004,FUSE-XFMR-020259,FDR-0060,SUB-014,lateral_overhead,#4 CU,B,0.129,683.5,1.6384,0.544,1.007,100,12.47,1,1,,closed
EDGE-041163,FUSE-XFMR-020259,XFMR-020259,FDR-0060,SUB-014,lateral_overhead,#4 CU,B,0.734,3873.1,1.6487,0.4797,1.007,100,12.47,1,1,,closed
EDGE-041164,JCT-FDR-0060-004,FUSE-XFMR-020260,FDR-0060,SUB-014,lateral_overhead,#2 ACSR,BC,0.13,688.2,0.9528,0.5379,0.6985,150,12.47,2,1,,closed
EDGE-041165,FUSE-XFMR-020260,XFMR-020260,FDR-0060,SUB-014,lateral_overhead,#2 ACSR,BC,0.739,3900.1,0.8067,0.4679,0.6985,150,12.47,2,1,,closed
EDGE-041166,JCT-FDR-0060-004,FUSE-XFMR-020261,FDR-0060,SUB-014,lateral_overhead,4/0 AL,ABC,0.132,697.0,0.3047,0.4159,0.3655,340,12.47,3,1,,closed
EDGE-041167,FUSE-XFMR-020261,XFMR-020261,FDR-0060,SUB-014,lateral_overhead,4/0 AL,ABC,0.748,3949.4,0.2754,0.3912,0.3655,340,12.47,3,1,,closed
EDGE-041168,JCT-FDR-0060-004,FUSE-XFMR-020262,FDR-0060,SUB-014,lateral_overhead,1/0 AL,C,0.134,706.5,0.5455,0.4938,0.5345,230,12.47,1,1,,closed
EDGE-041169,FUSE-XFMR-020262,XFMR-020262,FDR-0060,SUB-014,lateral_overhead,1/0 AL,C,0.758,4003.3,0.5905,0.4489,0.5345,230,12.47,1,1,,closed
EDGE-041170,JCT-FDR-0060-004,FUSE-XFMR-020263,FDR-0060,SUB-014,lateral_overhead,#2 ACSR,A,0.135,715.2,0.8272,0.4669,0.6985,150,12.47,1,1,,closed
EDGE-041171,FUSE-XFMR-020263,XFMR-020263,FDR-0060,SUB-014,lateral_overhead,#2 ACSR,A,0.768,4052.7,0.9355,0.5392,0.6985,150,12.47,1,1,,closed
EDGE-041172,JCT-FDR-0060-004,FUSE-XFMR-020264,FDR-0060,SUB-014,lateral_overhead,4/0 AL,C,0.137,722.3,0.282,0.4683,0.3655,340,12.47,1,1,,closed
EDGE-041173,FUSE-XFMR-020264,XFMR-020264,FDR-0060,SUB-014,lateral_overhead,4/0 AL,C,0.775,4093.1,0.3076,0.4675,0.3655,340,12.47,1,1,,closed
EDGE-041174,JCT-FDR-0060-004,FUSE-XFMR-020265,FDR-0060,SUB-014,lateral_overhead,1/0 AL,AC,0.138,731.0,0.5479,0.4801,0.5345,230,12.47,2,1,,closed
EDGE-041175,FUSE-XFMR-020265,XFMR-020265,FDR-0060,SUB-014,lateral_overhead,1/0 AL,AC,0.785,4142.4,0.5591,0.4627,0.5345,230,12.47,2,1,,closed
EDGE-041176,JCT-FDR-0060-004,FUSE-XFMR-020266,FDR-0060,SUB-014,lateral_underground,#4 CU,C,0.14,739.7,1.6048,0.4751,1.007,100,12.47,1,0,,closed
EDGE-041177,FUSE-XFMR-020266,XFMR-020266,FDR-0060,SUB-014,lateral_underground,#4 CU,C,0.794,4191.8,1.5857,0.4855,1.007,100,12.47,1,0,,closed
EDGE-041178,JCT-FDR-0060-004,FUSE-XFMR-020267,FDR-0060,SUB-014,lateral_overhead,#2 ACSR,AB,0.142,748.4,0.9737,0.4803,0.6985,150,12.47,2,1,,closed
EDGE-041179,FUSE-XFMR-020267,XFMR-020267,FDR-0060,SUB-014,lateral_overhead,#2 ACSR,AB,0.803,4241.2,0.9745,0.5358,0.6985,150,12.47,2,1,,closed
EDGE-041180,JCT-FDR-0060-004,FUSE-XFMR-020268,FDR-0060,SUB-014,lateral_overhead,#2 ACSR,BC,0.143,754.8,0.8969,0.462,0.6985,150,12.47,2,1,,closed
EDGE-041181,FUSE-XFMR-020268,XFMR-020268,FDR-0060,SUB-014,lateral_overhead,#2 ACSR,BC,0.81,4277.1,0.8782,0.5042,0.6985,150,12.47,2,1,,closed
EDGE-041182,JCT-FDR-0060-004,FUSE-XFMR-020269,FDR-0060,SUB-014,lateral_overhead,1/0 AL,AB,0.144,759.5,0.5752,0.5218,0.5345,230,12.47,2,1,,closed
